0.0089, 0, 0
1.2139, 0, 20000
2.2930, 0, 20000
3.3599, 0, 20000
4.4291, 0, 20000
5.5172, 0, 20000
6.5875, 0, 20000
7.6605, 0, 20000
8.7570, 0, 20000
9.8189, 0, 20000
10.8975, 0, 20000
11.9636, 0, 19964
13.0216, 0, 17823
14.0833, 0, 16136
15.1417, 0, 13525
16.1976, 0, 7956
17.2536, 0, 7803
18.3097, 0, 4874
19.3659, 0, 1746
20.4239, 0, -825
21.4986, 0, -3133
22.5677, 0, -4436
23.6247, 0, -5406
24.6806, 0, -5549
25.7361, 0, -5737
26.7928, 0, -5859
27.8495, 0, -4866
28.9143, 0, -3801
29.9969, 0, -2828
31.0612, 0, -891
32.1219, 0, 939
33.1787, 0, 816
34.2349, 0, 2545
35.2907, 0, 5029
36.3468, 0, 7157
37.4039, 0, 8914
38.4663, 0, 10710
39.5229, 0, 12632
40.5785, 0, 12477
41.6345, 0, 13340
42.6905, 0, 13822
43.7490, 0, 14089
44.8148, 0, 13249
45.8581, 0, 11790
46.9202, 0, 10037
47.9978, 0, 9854
49.0546, 0, 8190
50.1115, 0, 6264
51.1686, 0, 4159
52.2308, 0, 17
53.2876, 0, -166
54.3449, 0, -2380
55.4161, 0, -4540
56.4727, 0, -6403
57.5387, 0, -7795
58.5943, 0, -8907
59.6545, 0, -9190
60.7199, 0, -9282
61.7771, 0, -9343
62.8458, 0, -8706
63.9123, 0, -7906
64.9786, 0, -6863
66.0351, 0, -5196
67.0911, 0, -3371
68.1500, 0, -971
69.2196, 0, -1063
70.2780, 0, 1324
71.3401, 0, 3904
72.4068, 0, 6571
73.4637, 0, 8835
74.5258, 0, 10802
75.5819, 0, 12593
76.6380, 0, 12434
77.6962, 0, 13410
78.7567, 0, 13772
79.8145, 0, 13490
80.8675, 0, 12173
81.9265, 0, 10462
82.9826, 0, 9104
84.0385, 0, 8918
85.1040, 0, 5741
86.1727, 0, 5590
87.2299, 0, 1008
88.2890, 0, -1648
89.3466, 0, -4513
90.4025, 0, -4664
91.4582, 0, -7489
92.5138, 0, -9347
93.6463, 0, -10094
94.7202, 0, -9991
95.7841, 0, -10052
96.8585, 0, -9268
97.9192, 0, -9301
98.9756, 0, -8430
100.0318, 0, -7231
101.0882, 0, -5318
102.1450, 0, -2929
103.1852, 0, -703
104.2451, 0, 1535
105.3112, 0, 1503
106.3698, 0, 4501
107.4261, 0, 7319
108.4831, 0, 9487
109.5396, 0, 11865
110.5966, 0, 13331
111.6542, 0, 14244
112.7114, 0, 14089
113.7721, 0, 14283
114.8299, 0, 13886
115.8858, 0, 12276
116.9418, 0, 9097
117.9987, 0, 8913
119.0554, 0, 7148
120.1121, 0, 5062
121.1729, 0, 2709
122.2303, 0, 334
